final_content,sentiment
verifikasi wajah jelastuck pasti hp gerak hp taruh kali coba,negatif
hihihihi kog ngeri nian baca review guna horor kali deh bikin rekening uninstal wasalam,negatif
instal habis paket data cuk,negatif
wish bagus sihini suka,positif
kocak verifikasi wajah blokir lawak,negatif
bagus bayar tari aman moga aman amanah amin,positif
bagus tingkat kualitas,positif
sampe gel selfie pasti smartphone goyang kalo goyang la aneh,negatif
bantu,positif
senang pakai bcatransaksi mudah,positif
lambat bangetloding parahperbaikin sistem biar loding buruk,negatif
bagus promo kopken,positif
pinjam dana veripikasi tolak gitu saran aju cuman tes saldo pinjam besar saldo niat ngasih jangan program pinjam kasihan orang butuh,negatif
ok lancar makegratis bagus up tf d banyakin,positif
terima kasih layan muas,negatif
buruk susah ac,negatif
pas daftar suruh isi nik daftar rekening sampe segitunya emg ko,negatif
sukak so far gapernah problem sih buka akun gampang banget,positif
mantep banget lahaq pakai super praktis pakai m banking tnpa mahal biaya admin bulan mngkin belomtp so far mudah bngterima transfer jg aman blunrima transfer jt tf lngsung jt musti maximal jtudah nyobain soalnyanyway aq tau dri adek bisa m banking kartu pulamantep banget pokok,positif
useful and helpful,positif
bagus bagus,positif
salah pakai emang jos,positif
bagus,positif
amanah,positif
bagus enak tampil,positif
bagus pakai,positif
bagus setor tunai bebas admin x mesin,positif
coba tarik tunai setor tunai indomaret gitu kek mudah setortarik tunai mesin atm jg mesin atm khusus banget atm atm adeh,negatif
lambat banget daftar susah ngulang,negatif
kesel banget pake lagi verifikasinya super lama banget gagal terus masuk akun ribet banget jam loh verifikasi doang gitu telpon cs pakai pulsa juga baca ulas banyak ngerasain tapi da ubah ya bli bli pakai ini,negatif
lambat qris tampil ui hadeuhampun kaya anak magang create,negatif
dompet favorit si oren kuning hijau tarik tunai batas gratis transfer bifast kali pokok bagus fitur baik fitur blusaving bikin tentu nominal kumpul saran kustomisasi icon tambah gambar biar bagus kayak si jago hehe,positif
transaksi gratis langka gangu sedia layan,positif
bagus,positif
