content,score,at,thumbsUpCount,replyContent,final_content,tokens_stemmed
"verifikasi wajah tidak jelas,stuck di pastikan hp tidak bergerak pada hp saya ditaruh 👎 sudah beberapa kali dicoba tetap sama",1,2026-05-16 23:08:41,0,"Hai, Kak Darma. Maaf atas ketidaknyamanannya. Kami akan selalu berusaha memberikan yang terbaik demi kebutuhan perbankan Kakak. Terkait hal tersebut pastikan beberapa hal berikut, pastikan Kakak tidak memakai sunglasses, di tempat yang terang, tidak backlight, posisi wajah di dalam lingkaran dan pastikan aplikasi blu versi terupdate ya.
",verifikasi wajah jelastuck pasti hp gerak hp taruh kali coba,"['verifikasi', 'wajah', 'jelastuck', 'pasti', 'hp', 'gerak', 'hp', 'taruh', 'kali', 'coba']"
hihihihi kog ngeri nian baca review penggunanya. macam horror kali rasanya. Ga jadi deh bikin rekening. uninstall. wassalam.,1,2026-05-16 22:10:32,0,"Hai, Kak Maulana. Maaf atas ketidaknyamanannya. Kami akan selalu berusaha memberikan yang terbaik demi memenuhi kebutuhan perbankan Kakak. blu ingin memahami lebih lanjut kendala yang Kakak alami agar bisa kami tindaklanjuti secepatnya. Mohon kesediaannya untuk menghubungi kami di 1500668, ya. Tim kami siap bantu secara langsung.
",hihihihi kog ngeri nian baca review guna horor kali deh bikin rekening uninstal wasalam,"['hihihihi', 'kog', 'ngeri', 'nian', 'baca', 'review', 'guna', 'horor', 'kali', 'deh', 'bikin', 'rekening', 'uninstal', 'wasalam']"
gak perlu di instal hanya menghabiskan paket data aja cuk,1,2026-05-16 21:52:46,0,"Hai, Kak Jaki. Maaf atas ketidaknyamanannya. Kami akan selalu berusaha memberikan yang terbaik kebutuhan perbankan Kakak. Jika Kakak mengalami kendala pada aplikasi blu, mohon kesediaan Kakak dapat informasikan lebih detail kendalanya ke DM X @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",instal habis paket data cuk,"['instal', 'habis', 'paket', 'data', 'cuk']"
wish keren sih..ini bank digital yang aku suka..,5,2026-05-16 21:11:37,0,"Hai, Kak Alan. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Selamat menikmati kemudahan bertransaksi menggunakan blu ya. 😊",wish bagus sihini suka,"['wish', 'bagus', 'sihini', 'suka']"
"aplikasi kocak, verifikasi wajah gak bisa bisa . sampai terblokir sendiri lawak",1,2026-05-16 20:47:26,0,"Hai, Kak Muhammad. Maaf atas ketidaknyamanannya. Kami akan selalu berusaha memberikan yang terbaik demi kebutuhan perbankan Kakak. Terkait hal tersebut pastikan beberapa hal berikut, pastikan Kakak tidak memakai sunglasses, di tempat yang terang, tidak backlight, posisi wajah di dalam lingkaran dan pastikan aplikasi blu versi terupdate ya.
",kocak verifikasi wajah blokir lawak,"['kocak', 'verifikasi', 'wajah', 'blokir', 'lawak']"
"mantap, pembayarannya penarikan nya aman, semoga tetap aman dan amanah ya, amin",5,2026-05-16 18:06:24,0,"Hai, Kak Galang. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi X @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",bagus bayar tari aman moga aman amanah amin,"['bagus', 'bayar', 'tari', 'aman', 'moga', 'aman', 'amanah', 'amin']"
mantap.. tingkatkan terus kualitasnya,5,2026-05-16 17:36:33,0,"Hai, Kak Wahyu. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Selamat menikmati kemudahan bertransaksi menggunakan blu ya. 😊",bagus tingkat kualitas,"['bagus', 'tingkat', 'kualitas']"
sampe pegel selfie.. pastikan smartphone tidak bergoyang. ya kalo kelamaan pasti goyang la. aneh,1,2026-05-16 17:25:51,0,"Hai, Kakak. Maaf atas ketidaknyamanannya. Kami akan selalu berusaha memberikan yang terbaik demi kebutuhan perbankan Kakak. Terkait hal tersebut pastikan beberapa hal berikut, pastikan Kakak tidak memakai sunglasses, di tempat yang terang, tidak backlight, posisi wajah di dalam lingkaran dan pastikan aplikasi blu versi terupdate ya.",sampe gel selfie pasti smartphone goyang kalo goyang la aneh,"['sampe', 'gel', 'selfie', 'pasti', 'smartphone', 'goyang', 'kalo', 'goyang', 'la', 'aneh']"
sangat membantu,5,2026-05-16 17:16:53,0,"Hai, Kak Imelda. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Selamat menikmati kemudahan bertransaksi menggunakan blu ya. 😊",bantu,['bantu']
"Kyc lupa bawa KK ke metmall jadi makan sushi, Aplikasi bagus anak saya suka tapi kyc anaknya salah saya lupa an,10jutabuat buka rekerning anak di metmall cileungsi entah karena help desk hampir jam tutup atau memang prosedur jadi mirip HSBC,City Bank, Nama dan rekerning BCA saya sudah 3x diretas semua perbankan sejak 2000, padahal Bank pertama saya gajian BCA",1,2026-05-16 16:58:28,0,"Hai, Kak Yuli. Maaf atas ketidaknyamanannya. blu ingin memahami lebih lanjut kendala yang Kakak alami agar bisa kami tindaklanjuti secepatnya. Mohon kesediaannya untuk menghubungi kami di 1500668, ya. Tim kami siap bantu secara langsung.",kyc lupa bawa k metmal makan sushi bagus anak suka kyc anak salah lupa anjutabuat buka rekerning anak metmal cileungsi help desk jam tutup prosedur hsbcity nama rekerning x retas perban gaji,"['kyc', 'lupa', 'bawa', 'k', 'metmal', 'makan', 'sushi', 'bagus', 'anak', 'suka', 'kyc', 'anak', 'salah', 'lupa', 'anjutabuat', 'buka', 'rekerning', 'anak', 'metmal', 'cileungsi', 'help', 'desk', 'jam', 'tutup', 'prosedur', 'hsbcity', 'nama', 'rekerning', 'x', 'retas', 'perban', 'gaji']"
"Saya sangat senang sekali pakai Blu BCA,Transaksi nya mudah sekali",5,2026-05-16 14:10:44,0,"Hai, Kak Hidayat. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Selamat menikmati kemudahan bertransaksi menggunakan blu ya. 😊",senang pakai bcatransaksi mudah,"['senang', 'pakai', 'bcatransaksi', 'mudah']"
