word,bow_freq,bow_rank,tfidf_avg,tfidf_rank,rank_diff
bagus,6074,1,0.11293483411778625,1,0
banget,3031,2,0.028263924250905282,4,-2
mudah,2423,3,0.0319535679344742,2,1
masuk,2242,4,0.019928598484507686,8,-4
pakai,2234,5,0.01885426761732868,9,-4
transaksi,2022,6,0.02063713715886992,7,-1
buka,1433,7,0.01443124926243596,11,-4
bantu,1352,8,0.025933462374761095,5,3
transfer,1319,9,0.0130524630468927,15,-6
lambat,1297,10,0.016012290497655117,10,0
daftar,1239,11,0.012830056031246194,16,-5
tolong,1166,12,0.010781768075014214,21,-9
rekening,1145,13,0.010531883296586081,22,-9
aplikasi,1078,14,0.012400171469780171,17,-3
biaya,1056,15,0.009924618619576558,25,-10
baik,1033,16,0.01343383249195263,14,2
kasih,987,17,0.010501915679664771,23,-6
susah,984,18,0.011397654723658049,18,0
ok,971,19,0.029465706394061153,3,16
cepat,963,20,0.013788299324046863,12,8
tunai,915,21,0.00843867205792637,35,-14
admin,908,22,0.009096865235037372,32,-10
verifikasi,904,23,0.009285955196844881,29,-6
ribet,896,24,0.011278671012500718,19,5
uang,885,25,0.009149176316947553,31,-6
bayar,883,26,0.00955103068739628,26,0
fitur,876,27,0.009151529977708052,30,-3
tarik,862,28,0.008292114555318761,37,-9
gagal,837,29,0.00889484918828698,34,-5
moga,804,30,0.010406199990507833,24,6
baru,792,31,0.009496585238341333,27,4
god,789,32,0.02561290347270845,6,26
pas,752,33,0.00695105778833846,46,-13
kartu,747,34,0.008233011698830643,38,-4
buruk,737,35,0.00940951077887271,28,7
terima,737,36,0.008327379342473958,36,0
suka,723,37,0.010862936153494047,20,17
coba,692,38,0.008145951935159651,39,-1
saldo,691,39,0.0066686144996491335,52,-13
wajah,685,40,0.007236694512534159,42,-2
kalo,672,41,0.006435770191844088,57,-16
kali,667,42,0.006555118741993895,53,-11
sih,659,43,0.007438701852846228,41,2
atm,654,44,0.0067534020456380605,51,-7
akun,629,45,0.0069499335316135025,47,-2
hp,622,46,0.006446564080182978,56,-10
oke,591,47,0.013580111924368842,13,34
bikin,583,48,0.006135566916760991,61,-13
terima kasih,558,49,0.007017413802586404,45,4
gratis,552,50,0.00654622963521689,54,-4
data,551,51,0.005696965653449841,63,-12
proses,529,52,0.006290984266020144,59,-7
tarik tunai,517,53,0.005273816135982441,72,-19
aman,511,54,0.007626202316264312,40,14
berat,504,55,0.006819801512306576,49,6
cs,504,56,0.005119247463458182,74,-18
lancar,497,57,0.00711137068394578,44,13
bagus banget,496,58,0.009025181042162603,33,25
bintang,484,59,0.006278679962641587,60,-1
buka rekening,472,60,0.0050375663990046655,75,-15
guna,467,61,0.006796586338400845,50,11
layan,463,62,0.0065243000011137205,55,7
kena,458,63,0.004739670349849411,86,-23
eror,455,64,0.006937710225826539,48,16
up,443,65,0.004837456617055305,82,-17
biaya admin,442,66,0.004829312016821549,83,-17
kode,438,67,0.004934327179785637,79,-12
cal,435,68,0.004567056680746482,91,-23
mohon,426,69,0.004626532461280725,89,-20
vc,424,70,0.0055872904745158155,66,4
tabung,423,71,0.0056893773654616685,64,7
suruh,409,72,0.004064000503563135,108,-36
bagus up,406,73,0.004508168833215774,94,-21
by,399,74,0.005434581489055099,69,5
langsung,393,75,0.004089013494021011,106,-31
setor,388,76,0.003913061843149721,113,-37
biar,382,77,0.004327604462074227,96,-19
dana,381,78,0.004014066079578161,110,-32
tf,376,79,0.004642558549728589,88,-9
nih,366,80,0.0046753849391284056,87,-7
kecewa,362,81,0.0042309808056554404,100,-19
mulu,361,82,0.004845898480180026,81,1
jaring,361,83,0.004114429666985524,105,-22
nasabah,356,84,0.003948853382862644,112,-28
nungu,354,85,0.0037554960970343667,120,-35
jam,354,86,0.003907131223215865,114,-28
video,351,87,0.0039912079954051456,111,-24
qris,346,88,0.003901193979849582,116,-28
gabisa,345,89,0.0042960091660487,97,-8
no,343,90,0.004166831433956857,103,-13
min,340,91,0.004620305200836437,90,1
ktp,339,92,0.004128749755759668,104,-12
terimakasih,335,93,0.005391254053992077,70,23
depan,335,94,0.004031379895857172,109,-15
dah,334,95,0.004363482496279488,95,0
promo,332,96,0.005246976207816093,73,23
deh,328,97,0.004243565988690876,99,-2
video cal,326,98,0.0036937190053119417,123,-25
tingkat,323,99,0.005348002480429825,71,28
kirim,321,100,0.003752925065458172,121,-21
salah,320,101,0.003604312400825348,124,-23
debit,316,102,0.003906873222208503,115,-13
tolong baik,315,103,0.0038171862028471264,118,-15
nyaman,315,104,0.0050061127168741105,78,26
blue,311,105,0.0047860147306061605,84,21
foto,305,106,0.0037639297823433564,119,-13
nabung,305,107,0.004192167113871456,102,5
verifikasi wajah,301,108,0.003595106037490954,125,-17
simple,300,109,0.005626671141306375,65,44
potong,297,110,0.0033173414221475245,137,-27
praktis,295,111,0.0063291310368833965,58,53
gampang,294,112,0.004764391748879483,85,27
orang,289,113,0.003113661844780981,149,-36
kendala,289,114,0.003817837595768061,117,-3
antri,289,115,0.0032337592406408164,142,-27
ulang,288,116,0.002991555045712386,157,-41
nomor,287,117,0.0031798540444350682,144,-27
sampe,281,118,0.0029129699415053048,158,-40
pokok,280,119,0.004876776622456755,80,39
klo,278,120,0.003265113479584534,140,-20
butuh,276,121,0.0033062923474289747,139,-18
puas,274,122,0.0072027139928798065,43,79
setor tunai,273,123,0.002855337571314694,163,-40
mudah transaksi,271,124,0.0050306136129048586,76,48
putus,270,125,0.003388647409594229,134,-9
sulit,270,126,0.00371309157161111,122,4
email,269,127,0.002669586297100885,172,-45
sesuai,258,128,0.003066618545619209,151,-23
isi,258,129,0.003065650690938904,152,-23
hasil,253,130,0.0028485737494553377,164,-34
loading,251,131,0.0035490286693216915,127,4
aktif,251,132,0.0030015038232821412,156,-24
tampil,250,133,0.003455215141632961,131,2
best,247,134,0.0050253314282925,77,57
manfat,243,135,0.00596432019776405,62,73
virtual,243,136,0.0033124883625457674,138,-2
tambah,242,137,0.0030439614541454252,155,-18
menu,241,138,0.0031480220502717047,147,-9
sistem,240,139,0.0026942436547019283,171,-32
kena biaya,237,140,0.0025720443075356743,182,-42
tungu,236,141,0.002879408259422594,162,-21
otp,235,142,0.002768733136245097,166,-24
download,234,143,0.0034177276113872383,132,11
bebas,230,144,0.00269825572208182,170,-26
simpel,227,145,0.004560959519073885,93,52
kaya,227,146,0.002810578656203419,165,-19
lumayan,226,147,0.0040686510342230545,107,40
pinjam,226,148,0.0034127810094581744,133,15
aneh,224,149,0.002905399351792652,159,-10
lengkap,221,150,0.0032610302132738537,141,9
enak,218,151,0.003348539302839967,135,16
saran,217,152,0.0023874460565275557,191,-39
kartu debit,217,153,0.0028996839711955,160,-7
ya,215,154,0.003047978251653457,154,0
tolak,212,155,0.0028928279544926253,161,-6
pasword,208,156,0.002583541748080072,179,-23
uninstal,208,157,0.002668442757759237,174,-17
ganti,207,158,0.002407770198402188,190,-32
sukses,207,159,0.0034843035856261845,129,30
the,207,160,0.0035229685608491102,128,32
hapus,206,161,0.002615483809984246,177,-16
gitu,201,162,0.002170972966199795,215,-53
susah banget,200,163,0.002731503752023061,168,-5
mana,200,164,0.0026693262442734345,173,-9
bilang,197,165,0.0021104788831147665,224,-59
fiturnya,196,166,0.0031544276452617945,146,20
maf,192,167,0.002367560977653356,193,-26
bunga,191,168,0.0026682758642730627,175,-7
tetep,190,169,0.0020659267417074806,229,-60
nama,189,170,0.0023119662544224097,197,-27
gangu,188,171,0.0031237078200637173,148,23
gin,186,172,0.0020740878010901045,227,-55
hubung,186,173,0.0020617511335359784,230,-57
acount,185,174,0.0024617921559717836,186,-12
sayang,184,175,0.0026007847361224678,178,-3
mending,182,176,0.0021485223980727557,219,-43
lambat banget,180,177,0.002719693478661278,169,8
online,180,178,0.002295769455275585,199,-21
beli,180,179,0.002292823607297265,200,-21
beda,179,180,0.002286718368949584,202,-22
the best,179,181,0.003166542230152728,145,36
jg,179,182,0.002157362148410258,217,-35
kayak,178,183,0.0021878831223433003,213,-30
tau,177,184,0.002135188862251872,222,-38
bulan,176,185,0.0020505034490118828,235,-50
hilang,176,186,0.0022879692082054875,201,-15
habis,175,187,0.002189028403604763,212,-25
fre,175,188,0.002243741013778136,207,-19
kasih bintang,174,189,0.0022199857509444974,208,-19
kak,174,190,0.002445930364634293,188,2
sinyal,174,191,0.002315111558726883,195,-4
si,173,192,0.002445120195888723,189,3
akses,173,193,0.002486044835720102,184,9
tunai atm,172,194,0.0020521898295070805,234,-40
koneksi,172,195,0.0022833002301871647,203,-8
mantap,172,196,0.00557222306684869,67,129
cepet,171,197,0.0025757493061438494,180,17
respon,171,198,0.0024634103849978696,185,13
cashback,170,199,0.003100890449209264,150,49
payah,169,200,0.0026276630646177375,176,24
menit,168,201,0.0019327493932107098,249,-48
tingal,167,202,0.0022746098749438083,205,-3
rek,166,203,0.0023098827501777707,198,5
bagus mudah,166,204,0.0034733846237287925,130,74
muas,165,205,0.0045610152395204814,92,113
cuman,162,206,0.002043591885017452,237,-31
ambil,160,207,0.002203829286943775,211,-4
scren,160,208,0.002111060232072905,223,-15
blokir,159,209,0.0020607588456423034,231,-22
apa,155,210,0.0021789597514323663,214,-4
pin,155,211,0.0019364360333134416,248,-37
mobile,152,212,0.001987552420322906,243,-31
yah,152,213,0.002148200474564048,220,-7
nice,152,214,0.005455299170871876,68,146
moga depan,152,215,0.0020480361018360036,236,-21
bebas biaya,151,216,0.0018688329716681626,259,-43
masukin,151,217,0.001793519502746678,263,-46
ko,151,218,0.0024559850404130943,187,31
pilih,150,219,0.0020186553882206824,242,-23
eh,149,220,0.0015985148821649432,291,-71
keren,149,221,0.004246121574251261,98,123
duit,149,222,0.0018717204134757125,258,-36
instal,147,223,0.0019057208355218777,253,-30
ni,145,224,0.00231336548460254,196,28
fisik,145,225,0.002031404362484017,239,-14
muncul,143,226,0.0017775253935666273,265,-39
aplikasi bagus,142,227,0.0023199454418977084,194,33
dl,142,228,0.0017519422304314678,270,-42
virtual acount,142,229,0.001976984999978125,244,-15
topup,142,230,0.0019021000900246747,254,-24
lock,141,231,0.0018781045323740546,255,-24
kadang,141,232,0.0020546548773489205,233,-1
atur,141,233,0.001962745104011014,246,-13
senang,141,234,0.0033311578697375406,136,98
solusi,140,235,0.0018321878738961686,261,-26
kenal,140,236,0.001911284002471741,252,-16
kurang,139,237,0.001704820358574977,274,-37
va,139,238,0.0022092995735164974,210,28
kerja,139,239,0.0016529865297023143,282,-43
pulsa,138,240,0.0015709349496274728,296,-56
bug,138,241,0.002152913591431451,218,23
emang,135,242,0.0020303144425091756,240,2
kembang,134,243,0.0022110153301232354,209,34
banget pakai,134,244,0.002057595110442809,232,12
transaksi mudah,134,245,0.0027648399745687745,167,78
tulis,134,246,0.0016255590545400757,287,-41
internet,132,247,0.0016395356003736207,284,-37
aju,131,248,0.0018737680106850408,257,-9
mantul,131,249,0.0041998204053286916,101,148
kartu atm,130,250,0.0018563726120563904,260,-10
lupa,130,251,0.0016776489027945111,278,-27
ui,129,252,0.0020346042880781904,238,14
rb,128,253,0.0015276266992145118,301,-48
ringan,128,254,0.001976680437519131,245,9
ku,128,255,0.0017742172456068045,267,-12
halo,128,256,0.0016469687014472882,283,-27
cocok,127,257,0.002250845882506391,206,51
kode otp,127,258,0.001525604360359781,303,-45
pindah,126,259,0.0014843335219914106,314,-55
mudah cepat,125,260,0.0025726719820151306,181,79
muka,124,261,0.0016256004275522525,286,-25
dapet,124,262,0.0016784687947840522,277,-15
suka banget,124,263,0.002103269333607318,225,38
foto ktp,123,264,0.0017197890678380637,273,-9
ewalet,122,265,0.0015232357319558748,304,-39
doang,122,266,0.0014822282120786256,315,-49
ampun,122,267,0.0017629139935161314,268,-1
scan,122,268,0.0016069300109950676,289,-21
banyak,122,269,0.0020665901229619025,228,41
ubah,122,270,0.001486550650942364,312,-42
cek,121,271,0.0014212848636902934,325,-54
terang,121,272,0.0014266348596337127,323,-51
tambahin,120,273,0.0017847903499888529,264,9
nomer,120,274,0.0015989304809774167,290,-16
scren lock,120,275,0.0015583745171746735,297,-22
biaya transfer,120,276,0.001597167633763608,292,-16
kuota,119,277,0.0015406270786768711,299,-22
anak,118,278,0.0016786878159450224,276,2
in,117,279,0.001528203724109858,300,-21
jos,116,280,0.003566429361839615,126,154
ok banget,116,281,0.0030597109377472056,153,128
mbanking,115,282,0.0016187357078740927,288,-6
selesai,114,283,0.001385572110652494,330,-47
blubca,114,284,0.0017774915141769258,266,18
via,113,285,0.0013602628507537093,333,-48
sat,113,286,0.0014479142343140244,320,-34
alhamdulilah,111,287,0.0024972341080718827,183,104
log,111,288,0.0014029518004810804,329,-41
alas,111,289,0.0012952151423580827,350,-61
tahan,109,290,0.0020290953777911216,241,49
user,108,291,0.001522605009892972,305,-14
lapor,107,292,0.0011944212811901072,374,-82
fast,107,293,0.0015862140322601365,294,-1
