content,score,sentiment_polarity,sentiment_subjective,sentiment_rating,review_without_stopwords
nice apps dr blu 👍,5,0.6,1.0,Positive,nice apps dr blu 👍
always ask permission for location eventhough i already gave the permission. i use x9c honor. please repair.,2,0.0,0.0,Negative,always ask permission location eventhough already gave permission. use x9c honor. please repair.
sering banget eror,3,0.0,0.0,Neutral,banget eror
"buset loading loginnya lama bener ,mau bayar jadi sulit",1,0.0,0.0,Negative,"buset loading loginnya bener ,mau bayar sulit"
"face recognition nya jelek. gagal terus, udah beberapa kali ganti device selalu ada masalah di login face recognition. kalau memang belum matang, lebih baik ada opsi lain untuk login. selain hubungi haloblu yang berbayar itu",2,0.0,0.0,Negative,"face recognition jelek. gagal terus, udah kali ganti device login face recognition. matang, opsi login. hubungi haloblu berbayar"
"mau bikin akun, verifikasi muka aja susah banget, heran.",1,0.0,0.0,Negative,"bikin akun, verifikasi muka susah banget, heran."
emot banget apalagi pas baru buka,3,0.0,0.0,Neutral,emot banget pas buka
"saat ini kenapa blu saya tidak bisa di buka? kalo terbuka...lalu tertutup infonya sesi habis, silahkan coba lagi",1,0.0,0.0,Negative,"blu buka? kalo terbuka...lalu tertutup infonya sesi habis, silahkan coba"
"udah 3 hari red screen blu nya, ga ada penanganan, tetap tidak bisa sudah dicoba close all app",1,0.0,0.0,Negative,"udah 3 red screen blu nya, penanganan, dicoba close app"
"akhir2 ini app sangat slow. harus force closed dan clear chace dulu kalau mau dipakai. bayar qr juga loadingnya sangat lama, jadinya payment pakai aplikasi bank atau e-wallet lain, padahal biasanya pakai blu 🥲",1,-0.10000000000000002,0.29444444444444445,Negative,"akhir2 app slow. force closed clear chace dipakai. bayar qr loadingnya lama, payment pakai aplikasi bank e-wallet lain, pakai blu 🥲"
good app,5,0.7,0.6000000000000001,Positive,good app
"tiba² ke logout, pas coba login bagian halaman kode otp selalu info disconnected padahal internet stabil",1,0.0,0.0,Negative,"tiba² logout, pas coba login halaman kode otp info disconnected internet stabil"
"sesudah lunas bluextracash, beberapa bulan kemudian coba lagi ditolak, tidak perlu di jawab tidak sesuai kriteria, bilang saja tidak bisa diandalkan dan tidak punya loyalitas terhadap pelanggan, bye-bye blu",1,0.0,0.0,Negative,"lunas bluextracash, coba ditolak, sesuai kriteria, bilang diandalkan loyalitas pelanggan, bye-bye blu"
kasih bintang 1 dulu krn sering error. ntar diubah kalo kualitas membaik.,1,0.0,0.0,Negative,kasih bintang 1 krn error. ntar diubah kalo kualitas membaik.
can't sign in,1,0.0,0.0,Negative,can't sign
verifikasi muka susah banget. harus berkali2. selalu gk bs mendeteksi saat buka tutup mulut. mending hilangin aja. karna bikin ribet banget,1,0.0,0.0,Negative,verifikasi muka susah banget. berkali2. gk bs mendeteksi buka tutup mulut. mending hilangin aja. karna bikin ribet banget
#bye blu sejak bca ada fitur pocket .,1,0.0,0.0,Negative,#bye blu bca fitur pocket .
"plis dong va nya di benerin lagi. tiap mau bayar belanja online gagal mulu. selalu muncul notif pastikan nomor va benar, entah apa yg salah padahal copas langsung, terpaksa bayar di rekening bisnis bca mobile",1,0.0,0.0,Negative,"plis va benerin lagi. bayar belanja online gagal mulu. muncul notif pastikan nomor va benar, salah copas langsung, terpaksa bayar rekening bisnis bca mobile"
kebanyakan bug,1,0.0,0.0,Negative,kebanyakan bug
"slow qris, biaya tarik di bca, ui masih kurang ok, promo banyak aturan..",2,0.09999999999999998,0.44999999999999996,Negative,"slow qris, biaya tarik bca, ui ok, promo aturan.."
bca always the best,5,1.0,0.3,Positive,bca always best
"very slow app, even with good signal reception it takes a while to do simple thing like login and complete qr payment compared to other banking app",1,0.05699999999999998,0.45042857142857146,Negative,"slow app, even good signal reception takes simple thing like login complete qr payment compared banking app"
"aplikasi nya benahin dong, lemot banget tiap buka selalu force close tiba"" 😑",2,0.0,0.0,Negative,"aplikasi benahin dong, lemot banget buka force close tiba"" 😑"
"plissss aplikasinya perbaikin lagi jelekkk, sinyal bagus tpi tetep gk bisa buka blu",2,0.0,0.0,Negative,"plissss aplikasinya perbaikin jelekkk, sinyal bagus tpi tetep gk buka blu"
it's getting better,4,0.5,0.5,Positive,getting better
"overal bagus, tp aplikasinya lelet kurang sat set, mau scan kode qris nunggu nya lama sekali",3,0.0,0.0,Neutral,"overal bagus, tp aplikasinya lelet sat set, scan kode qris nunggu"
"habis update terakhir, kenapa mau transfer saja jadi ribet mau cari rekening yg mau ditransfer, daftar favorit juga kosong, gimana ini programmernya???",2,0.0,0.0,Negative,"habis update terakhir, transfer ribet cari rekening ditransfer, daftar favorit kosong, gimana programmernya???"
"aplikasi selalu mengalami force close semenjak saya update, apakah saya bisa mengirim detail selain melalui telepon?",1,0.0,0.0,Negative,"aplikasi mengalami force close semenjak update, mengirim detail telepon?"
daftar rekening tidak muncul di menu transfer,2,0.0,0.0,Negative,daftar rekening muncul menu transfer
"masih lemot banget, kacau banget aplikasinya",1,0.0,0.0,Negative,"lemot banget, kacau banget aplikasinya"
too slow,2,-0.30000000000000004,0.39999999999999997,Negative,slow
"menyusahkan saya yang cacat mata minus, hanya untuk verifikasi wajah dipersulit. memang customer anda sempurna semua? ga ada cacat fisik?",2,-0.1,0.1,Negative,"menyusahkan cacat mata minus, verifikasi wajah dipersulit. customer sempurna semua? cacat fisik?"
"min, over all aplikasinya super sekali, tapi tombol qris harusnya di tengah seperti mybca, dan aplikasi terasa cukup berat",5,0.3333333333333333,0.6666666666666666,Positive,"min, aplikasinya super sekali, tombol qris mybca, aplikasi berat"
"app selalu kembali ke halaman login awal, seperti tereset. sangat buruk",1,0.0,0.0,Negative,"app halaman login awal, tereset. buruk"
